תחום גאוגרפי,סוג דרך,יחידה משטרתית,חודש תאונה,שעה,סוג יום,יום/לילה ,יום בשבוע,חומרת התאונה,סוג תאונה,דרך חד מסלולית,דרך רב מסלולית,מהירות מותרת,תקינות הדרך,רוחב הכביש,סימון/תימרור,תאורה,מזג אוויר,מצב פני הכביש,אופן חצייה,מקום חציה,מחוז,סמל יישוב,רחוב 1,רחוב 2,סוג עצם,מרחק עצם,לא חצה
ישראל ללא יהודה ושומרון,עירוני בצומת,מחוז ירושלים,ינואר,17:00-19:59,יום אחר,לילה,שישי,קלה,החלקה,דו סיטרי אין קו הפרדה רצוף,לא ידוע,עד 50 קמש,אין ליקוי,5 עד 7,לא ידוע,לילה פעלה תאורה,בהיר,יבש,לא ידוע,לא ידוע,תל אביב,3000,1939,1620,9,9,9
ישראל ללא יהודה ושומרון,עירוני בצומת,מרחב גליל,מרץ,10:00-13:59,יום אחר,יום,שישי,קלה,התנגשות חזית אל צד,אחר,מיפרדה בנויה ללא גדר בטיחות,עד 50 קמש,אין ליקוי,10.5 עד 14,אין ליקוי,אור יום רגיל,בהיר,יבש,לא ידוע,לא ידוע,המרכז,2800,,,9,9,9
ישראל ללא יהודה ושומרון,לא עירוני לא בצומת,מרחב לכיש,דצמבר,10:00-13:59,יום אחר,יום,רביעי,קלה,התנגשות חזית אל צד,אחר,אחר,80 קמש,שוליים גרועים וכביש משובש,5 עד 7,אין ליקוי,אור יום רגיל,בהיר,חול או חצץ על הכביש,לא ידוע,לא ידוע,המרכז,0,,,9,9,9
ישראל ללא יהודה ושומרון,לא עירוני לא בצומת,מחוז ירושלים,אפריל,14:00-16:59,יום אחר,יום,חמישי,קלה,התנגשות חזית אל חזית,אחר,מיפרדה בנויה ללא גדר בטיחות,80 קמש,אין ליקוי,7 עד 10.5,אין ליקוי,אור יום רגיל,בהיר,יבש,לא ידוע,לא ידוע,המרכז,0,,,9,9,9
ישראל ללא יהודה ושומרון,עירוני בצומת,מרחב לכיש,אוקטובר,20:00-23:59,יום אחר,לילה,שבת,קלה,פגיעה בהולך רגל,אחר,מיפרדה בנויה ללא גדר בטיחות,80 קמש,אין ליקוי,5 עד 7,אין ליקוי,אור יום רגיל,בהיר,יבש,לא ידוע,לא ידוע,המרכז,1031,,,9,9,9
ישראל ללא יהודה ושומרון,עירוני לא בצומת,מרחב תא,דצמבר,10:00-13:59,יום אחר,יום,רביעי,קלה,התנגשות חזית אל צד,אחר,מיפרדה בנויה ללא גדר בטיחות,90 קמש,לא ידוע,יותר מ-14,אין ליקוי,אור יום רגיל,לא ידוע,לא ידוע,לא ידוע,לא ידוע,הצפון,6300,,,9,9,9
ישראל ללא יהודה ושומרון,לא עירוני לא בצומת,מרחב השפלה,ספטמבר,17:00-19:59,יום אחר,יום,שבת,קשה,החלקה,דו סיטרי+קו הפרדה רצוף,לא ידוע,70 קמש,אין ליקוי,10.5 עד 14,לא ידוע,קיימת תאורה בלתי תקינה/לא פועלת,בהיר,יבש,לא ידוע,לא ידוע,ירושלים,0,,,9,9,9
ישראל ללא יהודה ושומרון,עירוני בצומת,מרחב לכיש,דצמבר,17:00-19:59,יום אחר,לילה,שבת,קלה,התנגשות חזית באחור,לא ידוע מספר מסלולים,לא ידוע,לא ידוע,לא ידוע,לא ידוע,לא ידוע,יום לא ידוע,לא ידוע,לא ידוע,חצה רגיל,במעבר חציה בלי רמזור,הצפון,7100,,,9,9,9
ישראל ללא יהודה ושומרון,לא עירוני לא בצומת,מרחב תא,ספטמבר,06:00-09:59,יום אחר,יום,חמישי,קלה,התנגשות אחור אל חזית,חד סיטרי,לא ידוע,עד 50 קמש,אין ליקוי,7 עד 10.5,אין ליקוי,לילה פעלה תאורה,בהיר,יבש,לא ידוע,לא ידוע,תל אביב,0,101,107,9,9,9
ישראל ללא יהודה ושומרון,לא עירוני בצומת,מרחב לכיש,יוני,14:00-16:59,יום אחר,יום,שלישי,קלה,התנגשות חזית אל צד,אחר,מיפרדה עם גדר בטיחות,90 קמש,אין ליקוי,7 עד 10.5,לא נדרש תמרור,אור יום רגיל,בהיר,יבש,לא ידוע,לא ידוע,הדרום,0,,,6,2,9
ישראל ללא יהודה ושומרון,עירוני בצומת,מרחב תא,נובמבר,00:00-05:59,יום אחר,לילה,שבת,קלה,התנגשות חזית אל צד,לא ידוע מספר מסלולים,לא ידוע,לא ידוע,לא ידוע,לא ידוע,לא ידוע,יום לא ידוע,לא ידוע,לא ידוע,לא ידוע,לא ידוע,הדרום,8600,,,9,9,9
ישראל ללא יהודה ושומרון,עירוני לא בצומת,מרחב לכיש,אפריל,06:00-09:59,חול המועד,יום,ראשון,קטלנית,פגיעה בהולך רגל,אחר,מיפרדה בנויה ללא גדר בטיחות,עד 50 קמש,אין ליקוי,7 עד 10.5,אין ליקוי,אור יום רגיל,בהיר,יבש,לא ידוע,לא ידוע,המרכז,155,350,996,9,9,9
ישראל ללא יהודה ושומרון,לא עירוני לא בצומת,מרחב גליל,ספטמבר,10:00-13:59,יום אחר,יום,שני,קלה,התנגשות חזית באחור,אחר,מיפרדה עם גדר בטיחות,90 קמש,אין ליקוי,יותר מ-14,אין ליקוי,לילה פעלה תאורה,בהיר,יבש,לא ידוע,לא ידוע,המרכז,0,,,9,9,9
ישראל ללא יהודה ושומרון,עירוני בצומת,מרחב לכיש,יוני,14:00-16:59,יום אחר,יום,ראשון,קלה,פגיעה בהולך רגל,אחר,מיפרדה מסומנת בצבע,עד 50 קמש,אין ליקוי,5 עד 7,אין ליקוי,אור יום רגיל,בהיר,יבש,לא ידוע,לא ידוע,הדרום,70,115,121,9,9,9
ישראל ללא יהודה ושומרון,עירוני לא בצומת,מרחב הנגב,אוגוסט,10:00-13:59,יום אחר,יום,שישי,קלה,התנגשות חזית אל חזית,אחר,מיפרדה בנויה ללא גדר בטיחות,עד 50 קמש,אין ליקוי,יותר מ-14,אין ליקוי,לילה לא ידוע,בהיר,יבש,לא ידוע,לא ידוע,הצפון,9000,,,9,9,9
ישראל ללא יהודה ושומרון,לא עירוני לא בצומת,מחוז ירושלים,מרץ,20:00-23:59,יום אחר,לילה,שבת,קשה,התנגשות צד בצד,דו סיטרי אין קו הפרדה רצוף,לא ידוע,עד 50 קמש,אין ליקוי,5 עד 7,אין ליקוי,לילה פעלה תאורה,גשום,רטוב ממים,לא ידוע,לא ידוע,הצפון,0,164,166,9,9,9
ישראל ללא יהודה ושומרון,לא עירוני לא בצומת,מרחב תא,אפריל,00:00-05:59,יום אחר,לילה,רביעי,קשה,התנגשות צד בצד,אחר,מיפרדה עם גדר בטיחות,120 קמש,אין ליקוי,7 עד 10.5,אין ליקוי,אור יום רגיל,בהיר,יבש,לא ידוע,לא ידוע,המרכז,0,,,9,9,9
ישראל ללא יהודה ושומרון,עירוני לא בצומת,מחוז ירושלים,יוני,20:00-23:59,יום אחר,לילה,שבת,קלה,התנגשות צד בצד,אחר,מיפרדה בנויה ללא גדר בטיחות,עד 50 קמש,אין ליקוי,7 עד 10.5,אין ליקוי,אור יום רגיל,בהיר,יבש,לא ידוע,לא ידוע,תל אביב,3000,2535,2562,9,9,9
ישראל ללא יהודה ושומרון,לא עירוני בצומת,מרחב השרון,פברואר,06:00-09:59,יום אחר,יום,שישי,קלה,התנגשות חזית אל צד,אחר,מיפרדה בנויה ללא גדר בטיחות,80 קמש,אין ליקוי,7 עד 10.5,לא נדרש תמרור,לילה לא ידוע,בהיר,יבש,לא ידוע,לא ידוע,יהודה ושומרון,0,,,9,9,9
ישראל ללא יהודה ושומרון,לא עירוני לא בצומת,מחוז ירושלים,יולי,06:00-09:59,יום אחר,יום,רביעי,קלה,התנגשות חזית אל חזית,אחר,מיפרדה בנויה ללא גדר בטיחות,עד 50 קמש,אין ליקוי,5 עד 7,לא נדרש תמרור,אור יום רגיל,בהיר,יבש,לא ידוע,לא ידוע,ירושלים,0,,,9,9,9
ישראל ללא יהודה ושומרון,לא עירוני לא בצומת,מרחב עמקים,אוקטובר,14:00-16:59,יום אחר,יום,שבת,קלה,התנגשות חזית אל חזית,חד סיטרי,לא ידוע,עד 50 קמש,אין ליקוי,5 עד 7,אין ליקוי,לילה פעלה תאורה,בהיר,יבש,לא ידוע,לא ידוע,תל אביב,0,1442,1707,8,9,9
ישראל ללא יהודה ושומרון,לא עירוני לא בצומת,מרחב לכיש,אפריל,14:00-16:59,חול המועד,לילה,חמישי,קשה,התנגשות חזית באחור,אחר,מיפרדה עם גדר בטיחות,80 קמש,אין ליקוי,7 עד 10.5,אין ליקוי,לילה פעלה תאורה,בהיר,יבש,לא חצה,לא ידוע,יהודה ושומרון,0,,,9,9,7
ישראל ללא יהודה ושומרון,לא עירוני בצומת,מרחב תא,יולי,10:00-13:59,יום אחר,יום,רביעי,קלה,התנגשות חזית אל צד,דו סיטרי אין קו הפרדה רצוף,לא ידוע,עד 50 קמש,שוליים גרועים,עד 5 מטר,סימון לקוי/חסר,אור יום רגיל,בהיר,יבש,לא ידוע,לא ידוע,ירושלים,0,4897,,9,9,9
ישראל ללא יהודה ושומרון,לא עירוני לא בצומת,מרחב תא,דצמבר,17:00-19:59,יום אחר,יום,שני,קלה,התנגשות חזית אל צד,אחר,מיפרדה בנויה ללא גדר בטיחות,90 קמש,אין ליקוי,לא ידוע,לא ידוע,לילה לא ידוע,לא ידוע,לא ידוע,לא ידוע,לא ידוע,הדרום,0,,,9,9,9
ישראל ללא יהודה ושומרון,עירוני בצומת,מרחב לכיש,נובמבר,06:00-09:59,יום אחר,יום,ראשון,קלה,פגיעה בהולך רגל,דו סיטרי אין קו הפרדה רצוף,לא ידוע,עד 50 קמש,אין ליקוי,5 עד 7,אין ליקוי,אור יום רגיל,בהיר,יבש,לא ידוע,לא ידוע,חיפה,2630,101,105,9,9,9
ישראל ללא יהודה ושומרון,לא עירוני לא בצומת,מרחב גליל,יוני,20:00-23:59,יום אחר,לילה,חמישי,קלה,פגיעה בהולך רגל,אחר,מיפרדה עם גדר בטיחות,90 קמש,אין ליקוי,יותר מ-14,אין ליקוי,אור יום רגיל,בהיר,יבש,לא ידוע,לא ידוע,המרכז,0,,,9,9,9
ישראל ללא יהודה ושומרון,לא עירוני לא בצומת,מרחב השרון,מאי,17:00-19:59,ערב חג,לילה,ראשון,קלה,התנגשות צד בצד,אחר,אחר,60 קמש,אין ליקוי,7 עד 10.5,אין ליקוי,לילה פעלה תאורה,בהיר,יבש,לא ידוע,לא ידוע,חיפה,0,,,9,9,9
